virus;virus_clean;matched_virus;taxonomic_level;family_clean;ncbi_id;family;subfamily;genus;ncbi_species
LASV/Gbagroube virus/Menekre virus/Mopeia virus/Mobala virus/Ippy virus/Merino walk virus/LCMV/Kodoko virus/Lujo virus/Mafiga mammarenavirus;Mammarenavirus;Mafiga mammarenavirus;genus;Arenaviridae;913012;Arenaviridae;NA;Mammarenavirus;Mafiga mammarenavirus
LASV/Mozambique virus/LCMV;Mammarenavirus;Mammarenavirus lassaense;genus;Arenaviridae;3052310;Arenaviridae;NA;Mammarenavirus;Mammarenavirus lassaense
LASV/Mozambique virus/LCMV;Mammarenavirus;Mammarenavirus mopeiaense;genus;Arenaviridae;3052320;Arenaviridae;NA;Mammarenavirus;Mammarenavirus mopeiaense
LASV/Mozambique virus/LCMV;Mammarenavirus;Mammarenavirus choriomeningitidis;genus;Arenaviridae;3052303;Arenaviridae;NA;Mammarenavirus;Mammarenavirus choriomeningitidis
LCMV;Mammarenavirus choriomeningitidis;Mammarenavirus choriomeningitidis;species;Arenaviridae;3052303;Arenaviridae;NA;Mammarenavirus;Mammarenavirus choriomeningitidis
LCMV,  Pachinde virus,  Tacaribe virus, LASV, Ippy virus, Mobala virus, Mopeia virus;Mammarenavirus;Mammarenavirus choriomeningitidis;genus;Arenaviridae;3052303;Arenaviridae;NA;Mammarenavirus;Mammarenavirus choriomeningitidis
LCMV,  Pachinde virus,  Tacaribe virus, LASV, Ippy virus, Mobala virus, Mopeia virus;Mammarenavirus;Pichinde virus;genus;Arenaviridae;2905917;Arenaviridae;NA;Mammarenavirus;Mammarenavirus caliense
LCMV,  Pachinde virus,  Tacaribe virus, LASV, Ippy virus, Mobala virus, Mopeia virus;Mammarenavirus;Mammarenavirus tacaribeense;genus;Arenaviridae;3052328;Arenaviridae;NA;Mammarenavirus;Mammarenavirus tacaribeense
LCMV,  Pachinde virus,  Tacaribe virus, LASV, Ippy virus, Mobala virus, Mopeia virus;Mammarenavirus;Mammarenavirus lassaense;genus;Arenaviridae;3052310;Arenaviridae;NA;Mammarenavirus;Mammarenavirus lassaense
LCMV,  Pachinde virus,  Tacaribe virus, LASV, Ippy virus, Mobala virus, Mopeia virus;Mammarenavirus;Mammarenavirus ippyense;genus;Arenaviridae;3052308;Arenaviridae;NA;Mammarenavirus;Mammarenavirus ippyense
LCMV,  Pachinde virus,  Tacaribe virus, LASV, Ippy virus, Mobala virus, Mopeia virus;Mammarenavirus;Mammarenavirus praomyidis;genus;Arenaviridae;3052325;Arenaviridae;NA;Mammarenavirus;Mammarenavirus praomyidis
LCMV,  Pachinde virus,  Tacaribe virus, LASV, Ippy virus, Mobala virus, Mopeia virus;Mammarenavirus;Mammarenavirus mopeiaense;genus;Arenaviridae;3052320;Arenaviridae;NA;Mammarenavirus;Mammarenavirus mopeiaense
LCMV/Junin/Tamiami;Mammarenavirus;Mammarenavirus choriomeningitidis;genus;Arenaviridae;3052303;Arenaviridae;NA;Mammarenavirus;Mammarenavirus choriomeningitidis
LCMV/Junin/Tamiami;Mammarenavirus;Mammarenavirus juninense;genus;Arenaviridae;2169991;Arenaviridae;NA;Mammarenavirus;Mammarenavirus juninense
LCMV/Junin/Tamiami;Mammarenavirus;Mammarenavirus tamiamiense;genus;Arenaviridae;3052329;Arenaviridae;NA;Mammarenavirus;Mammarenavirus tamiamiense
LECV;Orthohantavirus andesense;Orthohantavirus andesense;species;Hantaviridae;1980456;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus andesense
LSCV;Orthohantavirus montanoense;Orthohantavirus montanoense;species;Hantaviridae;3052486;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus montanoense
Laguna Negra Virus;Orthohantavirus negraense;Orthohantavirus negraense;species;Hantaviridae;3052489;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus mamorense
Laguna Negra virus;Orthohantavirus negraense;Orthohantavirus negraense;species;Hantaviridae;3052489;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus mamorense
Laguna Negra virus.;Orthohantavirus negraense;Orthohantavirus negraense;species;Hantaviridae;3052489;Hantaviridae;Mammantavirinae;Orthohantavirus;Orthohantavirus mamorense
Lassa Virus;Mammarenavirus lassaense;Mammarenavirus lassaense;species;Arenaviridae;3052310;Arenaviridae;NA;Mammarenavirus;Mammarenavirus lassaense
