pathogen_record_id,associated_rodent_record_id,study_id,associatedTaxa,family,scientificName,assay,tested,positive,negative,number_inconclusive,note
29800,21607,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29801,21608,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29802,21609,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29803,21610,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,neg_uncertain
29804,21611,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29805,21612,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29806,21613,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29807,21614,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29808,21615,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29809,21616,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29810,21617,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29811,21618,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29812,21619,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29813,21620,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29814,21621,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29815,21622,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29816,21623,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29817,21624,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29818,21625,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29819,21626,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29820,21627,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,neg_uncertain
29821,21628,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29822,21629,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29823,21630,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29824,21631,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29825,21632,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29826,21633,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29827,21634,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29828,21635,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29829,21636,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29830,21637,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29831,21638,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29832,21639,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,0,0,0,NA,NA
29833,21640,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
29834,21641,87,Mastomys natalensis,Arenaviridae,Morogoro arenavirus,IFA,1,0,1,NA,NA
